Dataset Name,Source GitHub Paths,Target Location,File Type,Project,Preprocessing Required,Upload Timestamp,Uploaded to Warhouse ,Deleted From GitHub
battingData.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/Batting_Analysis/batting_data.csv,dw-silver,CSV,project-3,No,"9/3/2025, 7:25:03 PM",Yes,No
BattingDataWithPerformance.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/Batting_Analysis/batting_data_with_performance_index.csv,dw-silver,CSV,project-3,No,"9/3/2025, 7:29:50 PM",Yes,No
PlayerDetails2023WC.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/Cricket_WC2023_Analysis/Data/player_details_2023WC.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:23:38 PM",Yes,No
MatchSummary2023WC.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/Cricket_WC2023_Analysis/Data/match_summary_2023WC.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:24:40 PM",Yes,No
BowlingSummary2023WC.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/Cricket_WC2023_Analysis/Data/bowling_summary_2023WC.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:25:07 PM",Yes,No
BattingSummary2023WC.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/Cricket_WC2023_Analysis/Data/batting_summary_2023WC.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:25:32 PM",Yes,No
BattingSummaryIPL2023.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/IPL_2023_Cricket_analysis/Data/Batting_Summary_IPL_2023.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:29:54 PM",Yes,No
BowlingSummaryIPL2023.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/IPL_2023_Cricket_analysis/Data/Bowling_Summary_IPL_2023.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:30:09 PM",Yes,No
IPLMatchSummary.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/IPL_2023_Cricket_analysis/Data/IPL_Match_Summary.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:30:40 PM",Yes,No
PlayerInfoUpdatedImage.csv,https://github.com/Redback-Operations/redback-fit-sports-performance/blob/main/Cricket_Analysis/IPL_2023_Cricket_analysis/Data/Player_Info_Updated_image.csv,dw-silver,CSV,project-3,No,"9/10/2025, 5:31:34 PM",Yes,No
